CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12,1.0,0.35294117647058826,0.3329831932773109,0.4254201680672269,0.37815126050420167,0.3592436974789916,0.37710084033613445,0.3434873949579832,0.33718487394957986,0.36134453781512604,0.421218487394958,0.4957983193277311,0.3760504201680672,0.28256302521008403,0.24369747899159663,0.3025210084033613,0.26260504201680673,0.3025210084033613,0.28361344537815125,0.25840336134453784,0.2542016806722689,0.3130252100840336,0.30357142857142855,0.4054621848739496,0.19642857142857142
2010-01,1.0,0.20680628272251309,0.31151832460732987,0.306282722513089,0.2643979057591623,0.3010471204188482,0.2591623036649215,0.23036649214659685,0.2774869109947644,0.31675392670157065,0.3010471204188482,0.17277486910994763,0.2198952879581152,0.17539267015706805,0.18848167539267016,0.14921465968586387,0.2356020942408377,0.19633507853403143,0.18586387434554974,0.19633507853403143,0.24345549738219896,0.193717277486911,0.24607329842931938,0.0549738219895288,
2010-02,1.0,0.23466666666666666,0.22666666666666666,0.29333333333333333,0.24533333333333332,0.19733333333333333,0.192,0.288,0.256,0.2773333333333333,0.11466666666666667,0.12533333333333332,0.152,0.176,0.12266666666666666,0.2,0.16,0.16266666666666665,0.144,0.22933333333333333,0.22933333333333333,0.16533333333333333,0.058666666666666666,,
2010-03,1.0,0.19134396355353075,0.23234624145785876,0.24145785876993167,0.23234624145785876,0.20501138952164008,0.2460136674259681,0.3052391799544419,0.27790432801822323,0.10933940774487472,0.11389521640091116,0.14350797266514806,0.20045558086560364,0.16400911161731208,0.20045558086560364,0.17084282460136674,0.17539863325740318,0.1571753986332574,0.1776765375854214,0.20273348519362186,0.214123006833713,0.0774487471526196,,,
2010-04,1.0,0.19112627986348124,0.19112627986348124,0.16040955631399317,0.18430034129692832,0.22184300341296928,0.2764505119453925,0.2627986348122867,0.10580204778156997,0.10921501706484642,0.07508532423208192,0.13993174061433447,0.13993174061433447,0.15699658703071673,0.15699658703071673,0.15699658703071673,0.13993174061433447,0.15017064846416384,0.18088737201365188,0.22525597269624573,0.05802047781569966,,,,
2010-05,1.0,0.15748031496062992,0.16929133858267717,0.1732283464566929,0.17716535433070865,0.2559055118110236,0.2125984251968504,0.12598425196850394,0.05905511811023622,0.08267716535433071,0.1141732283464567,0.13385826771653545,0.15354330708661418,0.15354330708661418,0.0984251968503937,0.12598425196850394,0.1377952755905512,0.16535433070866143,0.15354330708661418,0.047244094488188976,,,,,
2010-06,1.0,0.1760299625468165,0.18726591760299627,0.20599250936329588,0.23220973782771537,0.2846441947565543,0.12734082397003746,0.0898876404494382,0.08239700374531835,0.11235955056179775,0.10486891385767791,0.13857677902621723,0.149812734082397,0.12359550561797752,0.11235955056179775,0.12359550561797752,0.13108614232209737,0.20224719101123595,0.04868913857677903,,,,,,
2010-07,1.0,0.15591397849462366,0.1827956989247312,0.2956989247311828,0.2903225806451613,0.13978494623655913,0.11290322580645161,0.14516129032258066,0.14516129032258066,0.11290322580645161,0.13440860215053763,0.14516129032258066,0.12903225806451613,0.13440860215053763,0.1935483870967742,0.17204301075268819,0.23655913978494625,0.08064516129032258,,,,,,,
2010-08,1.0,0.19753086419753085,0.29012345679012347,0.3271604938271605,0.16666666666666666,0.11728395061728394,0.09876543209876543,0.12962962962962962,0.13580246913580246,0.12962962962962962,0.12962962962962962,0.11728395061728394,0.14814814814814814,0.1728395061728395,0.1728395061728395,0.19753086419753085,0.07407407407407407,,,,,,,,
2010-09,1.0,0.2301255230125523,0.23430962343096234,0.1297071129707113,0.08786610878661087,0.10460251046025104,0.13807531380753138,0.09623430962343096,0.1297071129707113,0.1297071129707113,0.12133891213389121,0.100418410041841,0.22594142259414227,0.16736401673640167,0.16736401673640167,0.05439330543933055,,,,,,,,,
